2022-11-14 06:45:19.450 [info] Extension host with pid 3554 started
2022-11-14 06:45:19.743 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2022-11-14 06:45:19.841 [error] No bundle location found for extension vscode.git-base
2022-11-14 06:45:19.895 [info] Lock '/root/.vscode-server/data/User/workspaceStorage/1be3fce56b27f86975b185551eb8ce35/vscode.lock': Lock acquired.
2022-11-14 06:45:19.936 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2022-11-14 06:45:19.939 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2022-11-14 06:45:19.948 [error] No bundle location found for extension vscode.git
2022-11-14 06:45:19.948 [error] No bundle location found for extension vscode.github
2022-11-14 06:45:20.706 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2022-11-14 06:45:20.708 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onStartupFinished'
2022-11-14 06:45:20.712 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2022-11-14 06:45:20.716 [info] Eager extensions activated
2022-11-14 06:45:20.830 [error] No bundle location found for extension vscode.debug-auto-launch
2022-11-14 06:45:20.830 [error] No bundle location found for extension vscode.emmet
2022-11-14 06:45:20.830 [error] No bundle location found for extension vscode.merge-conflict
2022-11-14 06:45:21.733 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2811
2022-11-14 06:45:24.571 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2811
2022-11-14 06:45:28.657 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2811
2022-11-14 06:45:34.037 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2811
2022-11-14 06:45:39.412 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2811
2022-11-14 06:45:44.781 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2811
2022-11-14 06:45:50.145 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2811
2022-11-14 06:45:55.582 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2811
2022-11-14 06:46:01.021 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2811
2022-11-14 06:46:06.438 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2811
2022-11-14 06:46:11.843 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2811
2022-11-14 06:46:17.324 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2811
2022-11-14 06:46:22.940 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2811
2022-11-14 06:46:24.496 [info] ExtensionService#_doActivateExtension ms-vscode.cpptools, startup: false, activationEvent: 'onLanguage:c'
2022-11-14 06:46:28.668 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2817
2022-11-14 06:46:34.619 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2821
2022-11-14 06:46:40.099 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2827
2022-11-14 06:46:45.568 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2827
2022-11-14 06:46:48.209 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:markdown'
2022-11-14 06:46:48.212 [info] ExtensionService#_doActivateExtension vscode.markdown-language-features, startup: false, activationEvent: 'onLanguage:markdown'
2022-11-14 06:46:48.233 [error] No bundle location found for extension vscode.extension-editing
2022-11-14 06:46:48.233 [error] No bundle location found for extension vscode.markdown-language-features
2022-11-14 06:46:50.405 [info] ExtensionService#_doActivateExtension vscode.markdown-math, startup: false, activationEvent: 'api', root cause: vscode.markdown-language-features
2022-11-14 06:46:50.429 [error] No bundle location found for extension vscode.markdown-math
